person_id,name,legal_balls,cricinfo_id,bowling_style,source
f29185a1,Abhishek Sharma,365,1070183,spin,web
465aa633,N Burger,363,971349,pace,web
2498e163,JR Hopes,360,5702,pace,web
caf69bf7,DR Sams,360,826901,pace,web
c5aef772,R Shepherd,360,677077,pace,web
034b4b7d,VRV Singh,360,35281,pace,web
8f6dd463,Azmatullah Omarzai,354,819429,pace,web
c654af19,R McLaren,354,46393,pace,web
4bd09374,Akash Madhwal,352,1206039,pace,web
2af1b6d2,AN Ahmed,344,228430,pace,web
93a17209,VY Mahesh,339,31732,pace,web
740742ef,RG Sharma,339,34102,spin,web
dfc4d8b5,KW Richardson,335,272262,pace,web
aad0c365,Nithish Kumar Reddy,325,1175496,pace,web
ee7d0c82,GD McGrath,324,6565,pace,web
e4cdf230,AS Roy,323,1079839,spin,web
04a418e8,R Parag,319,1079434,spin,web
fd835ab3,DJ Hussey,317,5766,spin,web
b552a935,AC Thomas,315,47569,pace,web
b1451597,LR Shukla,314,34019,pace,web
50c6bc2b,LS Livingstone,312,403902,spin,web
3edb58fc,AD Mascarenhas,308,16932,pace,web
68c56d09,KA Jamieson,300,625960,pace,web
e32d22f6,Pankaj Singh,300,32973,pace,web
8abdf100,CJ Anderson,297,277662,pace,web
aa8d28ae,D Wiese,296,221140,pace,web
dc4686e6,BA Bhatt,296,433410,spin,web
f233bbb4,ST Jayasuriya,294,49209,spin,web
5ffc0565,V Nigam,288,1449074,spin,web
66cf56a5,A Mithun,288,310958,pace,web
ad427b5c,Lalit Yadav,288,930189,spin,web
bcce309e,WPUJC Vaas,282,50804,pace,web
2049f3a0,SJ Srivastava,282,34245,pace,web
f6d8a7ab,K Kartikeya,282,1159843,spin,web
2e11c706,BCJ Cutting,281,230371,pace,web
0a67aec0,Akash Deep,278,1176959,pace,web
725529bc,SC Ganguly,276,28779,pace,web
88fccd6c,SM Pollock,276,46774,pace,web
3204c99f,G Coetzee,273,596010,pace,web
133bbd61,Brijesh Sharma,273,1515046,pace,web-search
5bdcdb72,TM Dilshan,271,48472,spin,web
d68e7f48,R Rampaul,268,52912,pace,web
ef5da05c,AG Murtaza,264,26490,spin,web
1c2a64cd,A Ashish Reddy,262,389605,pace,web
3b53243a,XC Bartlett,261,1050545,pace,web
76388dc8,S Badree,258,51433,spin,web
9f961c14,Joginder Sharma,256,29976,pace,web
e9c7f0d0,Fazalhaq Farooqi,254,974175,pace,web
e342e5fb,CR Brathwaite,254,457249,pace,web
280fff14,Sakib Hussain,252,1340422,pace,web
ba607b88,V Kohli,251,253802,pace,web
29d72eb2,AA Chavan,248,337913,spin,web
64d43928,Sohail Tanvir,247,43265,pace,web
b483905d,Akash Singh,247,1175458,pace,web
ea0cdc12,BAW Mendis,244,268739,spin,web
2e78f685,KR Sen,241,1163695,pace,web
30df8c66,Simarjeet Singh,240,1159722,pace,web
e86754b2,TK Curran,238,550235,pace,web
0994d0ae,V Shankar,238,477021,pace,web
3eac9d95,JDP Oram,237,38062,pace,web
c03c6200,DJG Sammy,236,53115,pace,web
91ffa6c6,JD Ryder,236,38373,pace,web
b57f8a9a,BJ Hodge,234,5674,spin,web
99b202b3,A Chandila,234,27783,spin,web
342d8ade,CRD Fernando,234,48835,pace,web
7b44eb3e,Shivang Kumar,234,1512089,spin,web-search
9ca68676,AM Ghazanfar,233,1326798,spin,web
83c3e8e3,SH Johnson,230,1123718,pace,web
a45a5e8d,AM Nayar,229,32091,pace,web
9061a703,J Little,228,928067,pace,web
350bb1b1,AF Milne,227,450860,pace,web
6a26221c,AK Markram,223,600498,spin,web
dec8e038,J Theron,221,223642,pace,web
b1ad996b,MP Yadav,217,1292563,pace,web
94d7f855,C de Grandhomme,216,55395,pace,web
9219eff0,JDS Neesham,216,355269,pace,web
fb2d1dda,N Rana,216,604527,spin,web
7f048519,DJ Willey,216,308251,pace,web
d92e42f5,KP Appanna,216,269170,spin,web
57efa3be,SB Styris,216,38407,pace,web
edb3d4f8,KC Cariappa,216,777537,spin,web
fe763256,Y Venugopal Rao,216,35805,spin,web
f846de6a,MN Samuels,214,52983,spin,web
f752db61,JL Pattinson,213,272465,pace,web
b410bd3d,S Lamichhane,210,960361,spin,web
20a941bb,M Ntini,210,46592,pace,web
c24a2c5d,S Tyagi,209,317784,pace,web
4353bba5,YA Abdulla,209,224367,pace,web
245c97cb,TS Mills,209,459257,pace,web
7ca5e05d,RS Bopara,206,10582,pace,web
5f26df4f,VS Malik,205,31738,pace,web
0c9652b0,HR Shokeen,204,1175423,spin,web
1647bd37,Karanveer Singh,204,322535,spin,web
1da489ff,S Kaushik,204,917213,spin,web
59559bc2,J Overton,204,510530,pace,web
d718440b,V Pratap Singh,204,528967,pace,web
36619795,Zeeshan Ansari,203,942371,spin,web
9170ff49,Parvez Rasool,198,378496,spin,web
4c4fa80b,SMSM Senanayake,192,273439,spin,web
e03b66ec,Mohammad Asif,192,41411,pace,web
25228673,Harsh Dubey,192,1216159,spin,web
c64c2443,J Syed Mohammad,192,35261,spin,web
9caf69a1,WG Jacks,191,897549,spin,web
af7dadf7,B Akhil,188,26206,pace,web
4f629497,SE Bond,186,36326,pace,web
cf0ccafa,M Siddharth,186,1151286,spin,web
16043342,AB McDonald,186,6553,pace,web
d45c29b1,Ashwani Kumar,183,1209126,pace,web
641ac5ff,IS Sodhi,181,559066,spin,web
0dc00542,Shahid Afridi,180,42639,spin,web
02dfebbe,Yash Raj Punja,180,1515186,spin,web-search
b4f5c2d9,KL Nagarkoti,180,1070188,pace,web
ee1b6c27,N Thushara,180,955235,pace,web
39f01cdb,KP Pietersen,174,19296,spin,web
ac5ae4af,I Udana,174,328026,pace,web
f5f18a18,S Randiv,174,50438,spin,web
4d7f517e,AJ Hosein,172,530812,spin,web
cdc6bdba,S Sandeep Warrier,168,592735,pace,web
b2a79f17,B Laughlin,168,315623,pace,web
6ef60d3a,Kamran Khan,166,391121,pace,web
75224f22,KMA Paul,163,677081,pace,web
172dff15,C Bosch,163,594322,pace,web
983f2f61,Swapnil Singh,162,232292,spin,web
e412cb64,HF Gurney,162,244639,pace,web
e84ac20c,MJ Henry,162,506612,pace,web
529eb9e0,OC McCoy,161,906783,pace,web
d1c94b25,CK Langeveldt,156,45963,pace,web
ece7b6b3,PP Hinge,156,1216167,pace,web-search
a4e37e47,S Dube,154,714451,pace,web
0c432afb,P Parameswaran,154,279562,pace,web
acd4f5dc,DP Vijaykumar,152,272949,pace,web-search
fa2f1dde,K Khejroliya,151,1083033,pace,web
cf73ad76,JEC Franklin,151,37004,pace,web
25eeb281,PC Valthaty,151,35630,spin,web
cc61ee8f,Gurjapneet Singh,151,1269869,pace,web
b56dc5f7,BE Hendricks,150,379927,pace,web
0604ef16,SB Bangar,150,27225,pace,web
9a963804,LE Plunkett,150,19264,pace,web
11614d87,D Pretorius,150,327830,pace,web
aaa1b522,TL Suman,150,34281,spin,web
260fd380,AM Salvi,150,34264,pace,web
d2340a43,Anand Rajan,149,26797,pace,web
6834d1f2,B Stanlake,144,533042,pace,web
dadbdb68,JA Duffy,144,547766,pace,web
a7c226e1,FH Edwards,140,51782,pace,web
5f4e9e8f,RR Raje,139,290713,pace,web
626c5379,R Sathish,139,33870,pace,web
4885bbe6,Yudhvir Singh,138,1206052,pace,web
a316d663,GC Viljoen,138,375126,pace,web
fb693839,S Ladda,138,317292,spin,web
a457cfb5,Mayank Dagar,137,942367,spin,web
8ba8195d,V Sehwag,136,35263,spin,web
b2ae53f5,T Thushara,135,49677,pace,web
16dfcc19,Umar Gul,135,43524,pace,web
798cc28e,KM Asif,133,1083030,pace,web
6ad3a659,P Amarnath,132,290629,pace,web
50c09020,Ashok Sharma,126,1299879,pace,web-search
a03bba42,T Shamsi,120,379145,spin,web
8db7f47f,RJW Topley,120,461632,pace,web
a1d053dd,SS Cottrell,120,495551,pace,web
de4b0555,R Shukla,120,390547,pace,web
8d92a2c3,MA Wood,120,351588,pace,web
4180d897,JE Taylor,117,53191,pace,web
6f49cc6e,Shivam Sharma,114,717201,spin,web
8291f939,AL Menaria,110,371150,spin,web
f18ba07f,Ankit Soni,109,1083128,spin,web
d4eef961,M de Lange,108,393279,pace,web
287686fd,S Narwal,106,32084,pace,web
9a0146b3,P Sahu,105,34155,spin,web
d7b3a420,Jaskaran Singh,102,376102,pace,web
8a668774,Shoaib Ahmed,102,317709,pace,web
469ea22b,KMDN Kulasekara,102,49535,pace,web
dddca1d6,SB Wagh,102,279552,pace,web
18e6906e,A Choudhary,101,527299,pace,web
44aac2f0,Arjun Tendulkar,97,1148776,pace,web
cedc1d9a,P Suyal,96,431213,pace,web
a9da7784,KJ Abbott,96,297583,pace,web
b2570b38,RV Gomez,96,28846,pace,web
26989d80,Shashank Singh,90,377534,spin,web-search
b52ffbbd,FA Allen,90,670013,spin,web
5b615e7c,Raghu Sharma,90,1122621,spin,web
da934ee8,MK Lomror,90,853265,spin,web
23cca426,OF Smith,90,820691,pace,web
1ee08e9a,JA Richardson,90,774223,pace,web
be869ccf,GHS Garton,90,643433,pace,web
a386e91b,PD Collingwood,89,10772,pace,web
2815fe50,AA Jhunjhunwala,85,29702,spin,web
26d041c4,Sikandar Raza,84,299572,spin,web
890de8cb,Gagandeep Singh,84,28758,pace,web-search
cd8d2859,DG Nalkande,84,1111917,pace,web
2c76b512,DJ Muthuswami,84,528985,pace,web
a24be938,VR Iyer,81,851403,pace,web
7c3c0337,Auqib Nabi,78,1159732,pace,web
4ec07775,RN ten Doeschate,78,47660,pace,web
ed5a5510,P Dubey,78,777515,spin,web
6eb146d2,Gurkeerat Singh,78,537124,spin,web
11061889,SR Dubey,77,1206492,pace,web-search
1e030637,V Puthur,72,1460388,spin,web
6821ac10,JJ van der Wath,72,47693,pace,web
3dba85c2,WA Mota,72,31041,pace,web
cca50cd6,LJ Wright,71,23460,pace,web
2f3817ce,TP Sudhindra,70,34139,pace,web
402f8494,RJ Gleeson,68,473191,pace,web
f842c2cf,MJ Clarke,66,4578,spin,web
fb5f69e4,M Tiwari,66,1460385,pace,web-search
dbc50253,AP Dole,66,236694,pace,web
662c47a6,Y Nagar,66,317786,spin,web
e38bce7a,MG Bracewell,66,326968,spin,web
a1f1829d,K Goel,66,28997,pace,web
e0351c86,DNT Zoysa,66,51050,pace,web
107c26fb,KT Maphaka,66,1294342,pace,web
ddc0828d,A Flintoff,66,12856,pace,web
12b610c2,TM Head,64,530011,spin,web
cb9b8664,W O'Rourke,62,1211825,pace,web
03a83c50,V Viyaskanth,60,1153149,spin,web
c6097d68,O Thomas,60,914567,pace,web
9ab63e7b,Mohammad Hafeez,60,41434,spin,web
63bff7f9,SM Harwood,60,5605,pace,web
249d60c9,AU Rashid,60,244497,spin,web
012829ff,JW Hastings,58,228622,pace,web
82c10dac,Abhinandan Singh,58,1449085,pace,web-search
8e514b4c,Abdul Samad,57,1175485,spin,web
be24ead0,Ramandeep Singh,56,1079470,pace,web
6ec424a9,ND Doshi,56,12440,spin,web
670709ec,SB Joshi,55,29725,spin,web
864c199e,AC Voges,54,8119,spin,web
27e71d47,K Upadhyay,54,431876,pace,web
030f3089,K Yadav,54,1206495,pace,web
1a2676c5,SA Abbott,54,398666,pace,web
fffa744b,Naman Dhir,52,1287032,spin,web-search
64c34cd0,Shoaib Malik,51,42657,spin,web
0a476045,S Dhawan,48,28235,spin,web
eade4650,DJ Mitchell,48,381743,pace,web
531f0278,K Santokie,48,314622,pace,web
fef92afc,SC Kuggeleijn,48,539548,pace,web
78eb4223,KAJ Roach,48,230553,pace,web
26ff4c29,RJ Peterson,48,46750,spin,web
50758325,B Geeves,48,5472,pace,web
f24ca2ba,C Nanda,48,32093,spin,web
1558d83b,GS Sandhu,48,499660,pace,web
025c4400,MJ Suthar,48,1175426,spin,web
94bc776b,D Kalyankrishna,48,30719,pace,web
0264c10e,D Salunkhe,47,278482,spin,web
6581d753,JM Kemp,44,45797,pace,web
a90e53ec,MW Short,43,605575,spin,web
b8d490fd,AJ Finch,43,5334,spin,web
10a91f35,Shoaib Akhtar,42,42655,pace,web
94eac556,CJ McKay,42,6903,pace,web
449f4e3c,B Muzarabani,42,827051,pace,web
c42aaf71,M Manhas,42,31001,spin,web
d167edd3,SM Boland,42,446548,pace,web
7d3937ed,DJ Thornely,42,8002,pace,user
d0513f63,CL White,42,8291,spin,web
99ed60f8,JPR Scantlebury-Searles,42,230554,pace,web
8b9704ae,L Ablish,42,26236,pace,web
26e5cabf,MK Tiwary,42,35565,spin,web
94253925,GH Vihari,42,452044,spin,web
d7a57f75,D du Preez,42,44938,pace,web
08548b13,PHKD Mendis,42,784373,spin,web
73c18486,KR Mayers,42,348056,pace,web
872b03f7,A Badoni,41,1151270,spin,web
d014d5ac,SE Rutherford,41,914541,pace,web
3ae3f034,AUK Pathan,39,430401,pace,web
92500ad5,SS Mishra,38,1175457,pace,web
e5437608,GF Linde,37,481875,spin,web
85b3fab2,T Stubbs,36,595978,spin,web
d2c2b2d5,SR Tendulkar,36,35320,pace,user
4b57e452,M Vijay,36,237095,spin,web
c3c92b42,RS Hangargekar,36,1175429,pace,web
8361e524,SSB Magala,36,379776,pace,web
ce4cc4d5,R Ninan,36,353669,spin,web
e48a4814,Krish Bhagat,36,1454586,pace,web-search
0b60eb09,KA Maharaj,36,267724,spin,web
3ff033bb,MD Shanaka,36,437316,pace,web
facb9086,SD Chitnis,36,337916,spin,web
c695b423,PH Solanki,36,1252337,spin,web
fdcb08c2,A Uniyal,36,35586,pace,web
a1d95bd8,LB Williams,36,379887,pace,web
0a4ebc61,T Henderson,36,45434,pace,web
65b6943c,L Wood,36,573170,pace,web
b2b23612,RG More,35,424219,pace,web
38f2c66c,VS Yeligati,30,307448,spin,web-search
6c79c098,DA Payne,30,362710,pace,web
0d232ffd,MA Khote,30,30220,pace,web-search
9868bc75,BMAJ Mendis,30,49700,spin,web
9d704f6f,SZ Mulani,30,1131607,spin,web
c69a7b5c,AS Raut,30,230593,spin,web
52294a79,H Sharma,30,1350761,spin,web
4b4d1957,PM Sarvesh Kumar,30,327127,pace,web
5673a3fc,NL McCullum,30,37749,spin,web
cfa4bd2b,Y Prithvi Raj,30,1121579,pace,web
9a46c4e5,GD Phillips,30,823509,spin,web
caa89a48,SS Sarkar,25,34402,pace,web
b51f72a5,SS Agarwal,24,1079668,spin,web
ba6b2f91,RA Bawa,24,1292502,pace,web
0164b064,MG Neser,24,376169,pace,web
266849c1,R Goyal,24,1350770,spin,web
b69e69ed,AA Noffke,24,6938,pace,web
e1b9f3a9,BJ Dwarshuis,24,679567,pace,web
de7d833e,D Madushanka,24,793007,pace,web
