person_id,name,matches,cricinfo_id,archive_says,illegal_xis,cap_proves_domestic,nationality
b0f2baf4,Sanvir Singh,6,1132219,,,,India
cbf58a86,SK Rasheed,6,1292497,,,,India
5b615e7c,Raghu Sharma,6,1122621,,,,India
e148e6bd,PR Veer,6,1403197,,,,India
6ad3a659,P Amarnath,6,290629,,,,India
3cea23da,N Sindhu,6,1292506,,,,India
2c76b512,DJ Muthuswami,6,528985,,,,India
39f82db3,DJ Harris,6,5583,,,,Australia
cd8d2859,DG Nalkande,6,1111917,,,,India
44aac2f0,Arjun Tendulkar,6,1148776,,,,India
f18ba07f,Ankit Soni,6,1083128,,,,India
b9be6507,AS Yadav,6,36110,,,,India
297b26da,Yashpal Singh,5,36130,,,,India
dd7e9b3b,YV Dhull,5,1292498,,,,India
1e030637,V Puthur,5,1460388,,,,India
6f49cc6e,Shivam Sharma,5,717201,,,,India
c1e53c3f,R Smaran,5,1327722,,,,India
cedc1d9a,P Suyal,5,431213,,,,India
9a0146b3,P Sahu,5,34155,,,,India
fb5f69e4,M Tiwari,5,1460385,,,,India
d872f52a,LA Carseldine,5,4541,,,,Australia
7d3937ed,DJ Thornely,5,8002,,,,Australia
0264c10e,D Salunkhe,5,278482,,,,India
f4f0fafd,B Sumanth,5,253798,,,,India
7c3c0337,Auqib Nabi,5,1159732,,,,India
7bb62642,Anirudh Singh,5,26252,,,,India
3a02626a,AG Paunikar,5,324444,,,,India
18e6906e,A Choudhary,5,527299,,,,India
622cc511,U Kaul,4,30235,,,,India
a76d10ba,TM Srivastava,4,35401,,,,India
8998a68f,Sumit Kumar,4,1159734,,,,India
926c7443,SU Parakh,4,1451028,,,,India
11061889,SR Dubey,4,1206492,,,,India
670709ec,SB Joshi,4,29725,,,,India
b63e358a,RK Bhui,4,642531,,,,India
bafd0398,R Minz,4,1350762,,,,India
aedc3b7c,NS Naik,4,554700,,,,India
6ec424a9,ND Doshi,4,12440,,,,India
025c4400,MJ Suthar,4,1175426,,,,India
57ca01b3,Kumar Kushagra,4,1207295,,,,India
99ed60f8,JPR Scantlebury-Searles,4,230554,,,,West Indies
890de8cb,Gagandeep Singh,4,28758,,,,India
f4cb4f53,AP Majumdar,4,31750,,,,India
2d140b79,AA Kulkarni,4,1403153,,,,India
1b7b0fa7,Vivrant Sharma,3,1252370,,,,India
2f3817ce,TP Sudhindra,3,34139,,,,India
f836b33d,T Kohler-Cadmore,3,470633,,,,England
9e7225b0,Saurav Chauhan,3,1287369,,,,India
4d5a1617,R Bishnoi,3,236766,,,,India
e96801ea,MS Bhandage,3,1057399,,,,India
0d232ffd,MA Khote,3,30220,,,,India
8b9704ae,L Ablish,3,26236,,,,India
e48a4814,Krish Bhagat,3,1454586,,,,India
39ed0d2f,KS Sharma,3,1246518,,,,India
030f3089,K Yadav,3,1206495,,,,India
27e71d47,K Upadhyay,3,431876,,,,India
f663ef00,J Arunkumar,3,26291,,,,India
b274dbbd,ER Dwivedi,3,340841,,,,India
94bc776b,D Kalyankrishna,3,30719,,,,India
f24ca2ba,C Nanda,3,32093,,,,India
ff1e68fa,B Indrajith,3,477069,,,,India
82c10dac,Abhinandan Singh,3,1449085,,,,India
dbc50253,AP Dole,3,236694,,,,India
cfa4bd2b,Y Prithvi Raj,2,1121579,,,,India
bae11797,Y Gnaneswara Rao,2,28830,,,,India
26d76ad9,Virat Singh,2,720465,,,,India
38f2c66c,VS Yeligati,2,307448,,,,India
6dbcf855,VH Zol,2,554699,,,,India
91b9300b,UA Birla,2,262533,,,,India
f1809c03,Tanay Thyagarajan,2,1080008,,,,India
51ec3919,T Vijay,2,1292527,,,,India
f12fe2a1,T Dahiya,2,1460372,,,,India
9d704f6f,SZ Mulani,2,1131607,,,,India
caa89a48,SS Sarkar,2,34402,,,,India
92500ad5,SS Mishra,2,1175457,,,,India
548516a6,Ravi Singh,2,1461577,,,,India
a3ecf01f,RS Sodhi,2,34078,,,,India
c3c92b42,RS Hangargekar,2,1175429,,,,India
b2b23612,RG More,2,424219,,,,India
ce4cc4d5,R Ninan,2,353669,,,,India
c27b5a0e,PVSN Raju,2,1392201,,,,India
4b4d1957,PM Sarvesh Kumar,2,327127,,,,India
c695b423,PH Solanki,2,1252337,,,,India
8ac93ca2,P Chopra,2,500135,,,,India
b822e99c,NB Singh,2,853259,,,,India
52294a79,H Sharma,2,1350761,,,,India
9f77963a,Gulbadin Naib,2,352048,,,,Afghanistan
9e6032fa,DV Malewar,2,1421992,,,,India
f48cf4da,DT Patil,2,32389,,,,India
d7a57f75,D du Preez,2,44938,,,,South Africa
d8d67045,Akshat Raghuwanshi,2,1300795,,,,India
7023d182,AN Ghosh,2,220435,,,,India
fdcb08c2,A Uniyal,2,35586,,,,India
1763bc6c,X Thalaivan Sargunam,1,319744,,,,India
d4d929b0,V Kaverappa,1,1155262,,,,India
c28e9f12,Tejas Baroka,1,1082859,,,,India
5724e517,Tanush Kotian,1,1125960,,,,India
ee3dfa89,Sunny Gupta,1,271315,,,,India
0edcb652,Subhransu Senapati,1,1059577,,,,India
6ab96cc2,Sonu Yadav,1,1048867,,,,India
e1d9ae9c,Shivam Singh,1,1380113,,,,India
3c28853f,Sediqullah Atal,1,1161050,,,,Afghanistan
5f5d3ad4,SS Shaikh,1,377437,,,,India
0af3426f,SS Mundhe,1,279862,,,,India
b51f72a5,SS Agarwal,1,1079668,,,,India
9601c534,SD Lad,1,422342,,,,India
ade90de7,S Midhun,1,1131619,,,,India
dee07622,RS Ghosh,1,1339053,,,,India
21ac077a,RR Bose,1,27572,,,,India
7d3720ba,RR Bhatkal,1,27150,,,,India
7c390b03,RA Shaikh,1,279460,,,,India
33ffc3dd,R Sanjay Yadav,1,1048841,,,,India
266849c1,R Goyal,1,1350770,,,,India
441c72ae,P Ray Barman,1,1159712,,,,India
ddb00822,P Prasanth,1,32211,,,,India
6042bf26,NJ Rimmington,1,7443,,,,Australia
d621b427,Musheer Khan,1,1316430,,,,India
fb24e76c,Monu Kumar,1,694209,,,,India
9a5f2863,Mohit Rathee,1,1349361,,,,India
2b801189,Mayank Rawat,1,1079847,,,,India
86ae8ef2,MB Parmar,1,240734,,,,India
d3611425,LI Meriwala,1,573930,,,,India
62175638,Karim Janat,1,793467,,,,Afghanistan
e3851766,KS Rathore,1,1339031,,,,India
62e07f92,KH Devdhar,1,340063,,,,India
249abedf,Jalaj S Saxena,1,237199,,,,India
fdf7491e,IC Porel,1,967603,,,,India
943fd425,I Malhotra,1,31088,,,,India
0ed0cdbf,H Das,1,236810,,,,India
611926bc,GR Napier,1,17991,,,,England
8dc152d1,Duan Jansen,1,595954,,,,South Africa
2eeb4370,C Madan,1,31104,,,,India
798934ea,C Ganapathy,1,28764,,,,India
c2dd89ea,BR Sharath,1,917231,,,,India
5b627626,B Aparajith,1,477071,,,,India
cc777ffa,Abdul Basith,1,1287067,,,,India
5708d0b6,AV Wankhade,1,505773,,,,India
afe3355a,AR Bawne,1,327123,,,,India
16605a1b,AA Kazi,1,422106,,,,India
aa5d8c9e,A Tomar,1,1081183,,,,India
c9d33ef5,RV Pawar,0,32305,,,,India
eaa90ab4,P Dharmani,0,28067,,,,India
