person_id,name,matches,stumpings,is_keeper
facb9086,SD Chitnis,10,0,
cdc6bdba,S Sandeep Warrier,10,0,
1da489ff,S Kaushik,10,0,
60500956,RV Patel,10,0,
5f4e9e8f,RR Raje,10,0,
ba6b2f91,RA Bawa,10,0,
8ee36b18,P Nissanka,10,0,
addbde6c,N Saini,10,2,y
bd54eef5,N Jagadeesan,10,0,
a90e53ec,MW Short,10,0,
b1ad996b,MP Yadav,10,0,
1c84109e,MD Choudhary,10,0,
44a89551,KS Bharat,10,1,y
f752db61,JL Pattinson,10,0,
3c55c703,JG Bethell,10,0,
dec8e038,J Theron,10,0,
ac5ae4af,I Udana,10,0,
342d8ade,CRD Fernando,10,0,
172dff15,C Bosch,10,0,
ea0cdc12,BAW Mendis,10,0,
1ac746c8,Atharva Taide,10,0,
d45c29b1,Ashwani Kumar,10,0,
1399b39c,Anmolpreet Singh,10,0,
f10e94c4,AD Nath,10,0,
16043342,AB McDonald,10,0,
0494fa6e,Vishnu Vinod,8,2,y
acc1aeda,SP Jackson,8,2,y
a84468fe,DJ Jacobs,7,2,y
4663bd23,TL Seifert,6,1,y
ff077124,Kamran Akmal,6,4,y
62e07f92,KH Devdhar,1,1,y
