franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
42,2011 Delhi Daredevils,dcce6f09,DA Warner,13,0,4,3,0,,219889,
42,2011 Delhi Daredevils,afa7e784,MS Wade,3,0,0,,0,y,230193,
115,2011 Kings XI Punjab,2b6e6dec,AC Gilchrist,14,3,9,1,0,y,5390,y
115,2011 Kings XI Punjab,c03f1114,KD Karthik,14,0,7,2,0,y,30045,
115,2011 Kings XI Punjab,508a1ea7,SE Marsh,14,0,6,3,0,,6683,
65,2011 Kochi Tuskers Kerala,b5da6c24,PA Patel,13,1,8,1,0,y,32242,y
65,2011 Kochi Tuskers Kerala,d18f9182,DPMD Jayawardene,13,0,6,2,0,,49289,
65,2011 Kochi Tuskers Kerala,b8a55852,BB McCullum,13,0,2,3,0,y,37737,
65,2011 Kochi Tuskers Kerala,99d63244,KM Jadhav,4,0,2,4,0,y,290716,
69,2011 Kolkata Knight Riders,5afd4539,MS Bisla,5,2,1,4,0,y,27280,y
69,2011 Kolkata Knight Riders,541f85c9,SP Goswami,5,1,4,1,0,y,302579,y
69,2011 Kolkata Knight Riders,d2a6c0e6,EJG Morgan,10,0,3,2,0,,24598,
69,2011 Kolkata Knight Riders,bb345e0b,G Gambhir,15,0,1,3,0,,28763,
69,2011 Kolkata Knight Riders,f3cb53a1,MV Boucher,4,0,1,5,0,y,44111,
93,2011 Mumbai Indians,a84468fe,DJ Jacobs,6,2,2,4,0,,45782,y
93,2011 Mumbai Indians,70d205c9,AT Rayudu,16,1,7,1,0,y,33141,y
93,2011 Mumbai Indians,1efb8a28,AC Blizzard,6,0,4,2,0,,4498,
93,2011 Mumbai Indians,d2c2b2d5,SR Tendulkar,16,0,4,3,0,,35320,
109,2011 Pune Warriors,1c17e270,RV Uthappa,13,3,12,1,0,y,35582,y
109,2011 Pune Warriors,93b4fc78,MK Pandey,9,0,5,2,0,,290630,
109,2011 Pune Warriors,28c78fb3,Harpreet Singh,2,0,2,3,0,,340854,
